day,0_plant_count,1_plant_count,0_species_size,0_species_sense,0_species_dexterity,0_species_count,1_species_size,1_species_sense,1_species_dexterity,1_species_count,
0,25,25,3.5,4.2,5,10,3.2,4.2,11,10,
1,25,25,3.525,4.17,4.96429,14,3.09333,4.13,11.3667,12,
2,21,17,3.54594,4.35488,4.74687,16,3.08571,4.236,10.9057,14,
3,21,17,3.67259,4.25014,4.79719,16,2.86194,3.8757,10.8578,14,
4,17,11,3.59693,4.1164,4.74098,20,2.74217,3.88704,11.4691,14,
5,17,11,3.63474,4.05579,4.93359,26,2.81282,4.21802,11.6363,12,
6,14,7,3.53089,4.09395,5.06429,26,2.64416,4.83766,12.3343,8,
7,14,7,3.593,3.85619,5.08718,26,2.79893,5.16585,11.8356,6,
8,11,4,3.66891,3.75801,5.133,26,2.99376,5.31069,10.291,2,
9,11,4,3.47666,3.75626,5.67058,18,3.29314,4.77962,10.242,2,
10,9,4,3.54118,3.6795,5.55692,16,,,,0,
11,9,4,3.50915,3.74176,5.90929,12,,,,0,
12,9,4,3.80002,3.63246,6.78469,8,,,,0,
13,9,4,4.00208,4.34511,6.32225,2,,,,0,
14,9,4,3.62092,4.80249,6.98775,2,,,,0,
15,9,4,,,,0,,,,0,
16,9,4,,,,0,,,,0,
17,9,4,,,,0,,,,0,
18,9,4,,,,0,,,,0,
19,9,4,,,,0,,,,0,
20,9,4,,,,0,,,,0,
21,9,4,,,,0,,,,0,
22,9,4,,,,0,,,,0,
23,9,4,,,,0,,,,0,
24,9,4,,,,0,,,,0,
25,9,4,,,,0,,,,0,
26,9,4,,,,0,,,,0,
27,9,4,,,,0,,,,0,
28,9,4,,,,0,,,,0,
29,9,4,,,,0,,,,0,
30,9,4,,,,0,,,,0,
31,9,4,,,,0,,,,0,
32,9,4,,,,0,,,,0,
33,9,4,,,,0,,,,0,
34,9,4,,,,0,,,,0,
35,9,4,,,,0,,,,0,
36,9,4,,,,0,,,,0,
37,9,4,,,,0,,,,0,
38,9,4,,,,0,,,,0,
39,9,4,,,,0,,,,0,
40,9,4,,,,0,,,,0,
41,9,4,,,,0,,,,0,
42,9,4,,,,0,,,,0,
43,9,4,,,,0,,,,0,
44,9,4,,,,0,,,,0,
45,9,4,,,,0,,,,0,
46,9,4,,,,0,,,,0,
47,9,4,,,,0,,,,0,
48,9,4,,,,0,,,,0,
49,9,4,,,,0,,,,0,
50,9,4,,,,0,,,,0,
